capability_id,observed_on_raw_ready,parse_error,complexity,source_ability_count,monster_count,ready_monster_count,blocked_monster_count,mechanics,sections,source_names,exact_fingerprints,ready_monsters,blocked_monsters
aura+concentration+condition:restrained+damage+damage:typed+repeat-save+saving-throw,False,False,14,1,1,0,1,aura | concentration | condition:restrained | damage | damage:thunder | repeat-save | saving-throw,action,Create Whirlwind,aura+concentration+condition:restrained+damage+damage:thunder+repeat-save+saving-throw,,Djinni
aura+condition:grappled+condition:incapacitated+condition:restrained+damage+damage:typed+healing+max-hp-change+saving-throw,False,False,16,1,1,0,1,aura | condition:grappled | condition:incapacitated | condition:restrained | damage | damage:necrotic | damage:piercing | healing | max-hp-change | saving-throw,action,Bite,aura+condition:grappled+condition:incapacitated+condition:restrained+damage+damage:necrotic+damage:piercing+healing+max-hp-change+saving-throw,,Vampire Spawn
aura+condition:grappled+condition:incapacitated+condition:restrained+damage+damage:typed+healing+max-hp-change+saving-throw+zero-hp-effect,False,False,19,1,1,0,1,aura | condition:grappled | condition:incapacitated | condition:restrained | damage | damage:necrotic | damage:piercing | healing | max-hp-change | saving-throw | zero-hp-effect,action,Bite (Bat or Vampire Form Only),aura+condition:grappled+condition:incapacitated+condition:restrained+damage+damage:necrotic+damage:piercing+healing+max-hp-change+saving-throw+zero-hp-effect,,Vampire
advantage+injured-target-advantage,True,False,2,1,1,1,0,advantage | injured-target-advantage,trait,Blood Frenzy,advantage+injured-target-advantage,Sahuagin Warrior,
attack-roll+damage+damage:typed+disadvantage,True,False,4,2,2,2,0,attack-roll | damage | damage:bludgeoning | damage:fire | damage:piercing | disadvantage,action,Hammer Throw | Morningstar,attack-roll+damage+damage:bludgeoning+damage:fire+disadvantage | attack-roll+damage+damage:piercing+disadvantage,Ettin | Fire Giant,
advantage+attack-roll+damage+damage:typed+injured-target-advantage,True,False,5,4,4,4,0,advantage | attack-roll | damage | damage:piercing | injured-target-advantage,action,Bite | Bites,advantage+attack-roll+damage+damage:piercing+injured-target-advantage,Giant Shark | Hunter Shark | Piranha | Swarm of Piranhas,
advantage+aura+condition:incapacitated,True,False,5,19,19,19,0,advantage | aura | condition:incapacitated,trait,Aura of Authority | Pack Tactics,advantage+aura+condition:incapacitated,Baboon | Blood Hawk | Dire Wolf | Giant Rat | Giant Vulture | Hell Hound | Hobgoblin Captain | Hobgoblin Warrior | Hyena | Kobold Warrior | Lion | Reef Shark | Tough | Tough Boss | Vulture | Warrior Infantry | Werewolf | Winter Wolf | Wolf,
attack-roll+damage+damage:typed+recharge,True,False,5,1,1,1,0,attack-roll | damage | damage:bludgeoning | recharge,action,Rock (Recharge 6),attack-roll+damage+damage:bludgeoning+recharge,Ape,
attack-roll+condition:blinded+condition:grappled+condition:restrained+damage+damage:typed,True,False,6,1,1,1,0,attack-roll | condition:blinded | condition:grappled | condition:restrained | damage | damage:bludgeoning,action,Smother,attack-roll+condition:blinded+condition:grappled+condition:restrained+damage+damage:bludgeoning,Animated Rug of Smothering,
attack-roll+condition:prone+damage+damage:typed+recharge,True,False,6,1,1,1,0,attack-roll | condition:prone | damage | damage:piercing | recharge,action,Gore (Recharge 5-6),attack-roll+condition:prone+damage+damage:piercing+recharge,Minotaur of Baphomet,
aura+condition:grappled+saving-throw,True,False,6,1,1,1,0,aura | condition:grappled | saving-throw,bonus-action,Quick Grapple,aura+condition:grappled+saving-throw,Bugbear Stalker,
aura+condition:incapacitated+damage+damage:typed,True,False,6,1,1,1,0,aura | condition:incapacitated | damage | damage:fire,trait,Fire Aura,aura+condition:incapacitated+damage+damage:fire,Azer Sentinel,
condition:blinded+condition:grappled+condition:prone+condition:restrained+damage+damage:typed,True,False,6,2,2,2,0,condition:blinded | condition:grappled | condition:prone | condition:restrained | damage | damage:acid,action,Swallow,condition:blinded+condition:grappled+condition:prone+condition:restrained+damage+damage:acid,Giant Frog | Giant Toad,
damage+saving-throw+zero-hp-effect,True,False,6,2,2,2,0,damage | saving-throw | zero-hp-effect,trait,Undead Fortitude,damage+saving-throw+zero-hp-effect,Ogre Zombie | Zombie,
ability-score-change+attack-roll+damage+damage:typed,True,False,7,1,1,1,0,ability-score-change | attack-roll | damage | damage:necrotic,action,Draining Swipe,ability-score-change+attack-roll+damage+damage:necrotic,Shadow,
aura+condition:grappled+damage+damage:typed+saving-throw,True,False,8,2,2,2,0,aura | condition:grappled | damage | damage:bludgeoning | saving-throw,action,Constrict,aura+condition:grappled+damage+damage:bludgeoning+saving-throw,Constrictor Snake | Giant Constrictor Snake,
aura+condition:prone+damage+damage:typed+recharge+saving-throw,True,False,10,1,1,1,0,aura | condition:prone | damage | damage:bludgeoning | recharge | saving-throw,action,Boulder Toss (Recharge 6),aura+condition:prone+damage+damage:bludgeoning+recharge+saving-throw,Giant Ape,
attachment-state+attack-roll+aura+damage+damage:typed,True,False,13,1,1,1,0,attachment-state | attack-roll | aura | damage | damage:necrotic | damage:piercing,action,Proboscis,attachment-state+attack-roll+aura+damage+damage:necrotic+damage:piercing,Stirge,
